cancer_classification,YEAR,Age_Group,M,F,TOTAL
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N0_4,61,50,111
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N5_9,45,29,74
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N10_14,22,22,44
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N15_19,27,22,49
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N20_24,55,40,95
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N25_29,80,120,200
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N30_34,108,215,323
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N35_39,163,399,562
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N40_44,254,612,866
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N45_49,385,794,1179
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N50_54,560,864,1424
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N55_59,808,1087,1895
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N60_64,960,1032,1992
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N65_69,1168,1121,2289
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N70_74,1225,1072,2297
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N75_79,1107,954,2061
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N80_84,593,559,1152
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N85+,304,345,649
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N0_4,51,54,105
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N5_9,27,31,58
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N10_14,35,40,75
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N15_19,42,37,79
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N20_24,61,38,99
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N25_29,55,98,153
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N30_34,106,194,300
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N35_39,152,308,460
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N40_44,245,536,781
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N45_49,388,764,1152
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N50_54,587,931,1518
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N55_59,868,990,1858
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N60_64,1075,1039,2114
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N65_69,1277,1137,2414
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N70_74,1285,1119,2404
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N75_79,1086,980,2066
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N80_84,625,578,1203
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N85+,289,359,648
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N0_4,61,40,101
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N5_9,38,37,75
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N10_14,31,23,54
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N15_19,36,24,60
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N20_24,58,45,103
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N25_29,83,85,168
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N30_34,94,218,312
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N35_39,166,431,597
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N40_44,233,550,783
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N45_49,385,805,1190
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N50_54,614,942,1556
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N55_59,901,1142,2043
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N60_64,1110,1128,2238
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N65_69,1242,1184,2426
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N70_74,1243,1140,2383
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N75_79,1106,987,2093
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N80_84,727,671,1398
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N85+,292,361,653
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N0_4,71,52,123
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N5_9,29,27,56
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N10_14,34,32,66
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N15_19,38,22,60
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N20_24,57,43,100
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N25_29,70,97,167
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N30_34,128,216,344
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N35_39,155,409,564
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N40_44,238,552,790
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N45_49,401,863,1264
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N50_54,623,950,1573
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N55_59,938,1139,2077
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N60_64,1200,1154,2354
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N65_69,1286,1211,2497
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N70_74,1324,1230,2554
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N75_79,1145,994,2139
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N80_84,748,681,1429
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N85+,332,377,709
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N0_4,61,48,109
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N5_9,40,30,70
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N10_14,37,28,65
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N15_19,39,34,73
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N20_24,49,44,93
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N25_29,77,99,176
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N30_34,116,203,319
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N35_39,173,439,612
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N40_44,243,574,817
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N45_49,392,823,1215
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N50_54,654,903,1557
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N55_59,898,1118,2016
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N60_64,1236,1150,2386
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N65_69,1342,1182,2524
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N70_74,1423,1172,2595
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N75_79,1226,1006,2232
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N80_84,757,734,1491
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N85+,371,412,783
"All cancers but non-melanoma skin (C00-96, but C44)",1957,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N0_4,62,42,104
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N5_9,40,22,62
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N10_14,44,28,72
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N15_19,43,24,67
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N20_24,60,39,99
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N25_29,88,82,170
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N30_34,119,194,313
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N35_39,180,461,641
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N40_44,238,593,831
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N45_49,423,893,1316
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N50_54,681,893,1574
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N55_59,950,1116,2066
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N60_64,1313,1309,2622
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N65_69,1364,1281,2645
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N70_74,1459,1306,2765
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N75_79,1219,1121,2340
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N80_84,838,753,1591
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N85+,413,448,861
"All cancers but non-melanoma skin (C00-96, but C44)",1958,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N0_4,55,57,112
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N5_9,45,28,73
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N10_14,29,28,57
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N15_19,59,24,83
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N20_24,67,42,109
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N25_29,77,103,180
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N30_34,104,209,313
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N35_39,182,428,610
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N40_44,267,636,903
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N45_49,447,885,1332
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N50_54,666,1004,1670
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N55_59,1019,1207,2226
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N60_64,1373,1328,2701
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N65_69,1486,1343,2829
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N70_74,1592,1259,2851
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N75_79,1308,1125,2433
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N80_84,910,784,1694
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N85+,435,467,902
"All cancers but non-melanoma skin (C00-96, but C44)",1959,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N0_4,71,48,119
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N5_9,52,31,83
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N10_14,33,22,55
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N15_19,63,48,111
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N20_24,67,53,120
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N25_29,83,109,192
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N30_34,125,200,325
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N35_39,158,473,631
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N40_44,254,609,863
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N45_49,402,815,1217
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N50_54,682,993,1675
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N55_59,1000,1204,2204
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N60_64,1380,1305,2685
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N65_69,1562,1445,3007
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N70_74,1531,1396,2927
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N75_79,1392,1171,2563
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N80_84,872,851,1723
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N85+,492,446,938
"All cancers but non-melanoma skin (C00-96, but C44)",1960,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N0_4,65,46,111
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N5_9,38,43,81
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N10_14,51,30,81
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N15_19,57,49,106
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N20_24,64,41,105
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N25_29,76,82,158
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N30_34,110,208,318
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N35_39,143,412,555
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N40_44,259,676,935
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N45_49,362,864,1226
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N50_54,709,1014,1723
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N55_59,1070,1203,2273
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N60_64,1513,1411,2924
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N65_69,1798,1424,3222
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N70_74,1659,1362,3021
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N75_79,1363,1191,2554
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N80_84,875,878,1753
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N85+,535,475,1010
"All cancers but non-melanoma skin (C00-96, but C44)",1961,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N0_4,60,57,117
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N5_9,36,31,67
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N10_14,39,39,78
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N15_19,63,49,112
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N20_24,50,51,101
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N25_29,102,87,189
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N30_34,100,187,287
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N35_39,183,404,587
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N40_44,275,679,954
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N45_49,429,941,1370
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N50_54,742,1064,1806
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N55_59,1051,1220,2271
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N60_64,1433,1342,2775
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N65_69,1683,1402,3085
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N70_74,1632,1471,3103
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N75_79,1466,1278,2744
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N80_84,948,826,1774
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N85+,492,553,1045
"All cancers but non-melanoma skin (C00-96, but C44)",1962,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N0_4,65,50,115
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N5_9,47,33,80
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N10_14,28,24,52
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N15_19,56,56,112
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N20_24,59,48,107
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N25_29,65,92,157
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N30_34,108,194,302
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N35_39,169,389,558
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N40_44,256,690,946
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N45_49,443,893,1336
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N50_54,765,1041,1806
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N55_59,1132,1202,2334
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N60_64,1553,1445,2998
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N65_69,1842,1459,3301
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N70_74,1731,1526,3257
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N75_79,1533,1391,2924
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N80_84,952,851,1803
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N85+,539,539,1078
"All cancers but non-melanoma skin (C00-96, but C44)",1963,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N0_4,69,57,126
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N5_9,52,22,74
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N10_14,32,24,56
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N15_19,57,52,109
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N20_24,66,55,121
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N25_29,90,115,205
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N30_34,115,219,334
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N35_39,161,430,591
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N40_44,290,732,1022
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N45_49,463,927,1390
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N50_54,769,1122,1891
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N55_59,1112,1220,2332
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N60_64,1592,1396,2988
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N65_69,1841,1661,3502
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N70_74,1879,1537,3416
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N75_79,1555,1393,2948
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N80_84,1011,923,1934
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N85+,542,561,1103
"All cancers but non-melanoma skin (C00-96, but C44)",1964,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N0_4,65,57,122
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N5_9,36,28,64
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N10_14,24,34,58
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N15_19,55,50,105
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N20_24,84,50,134
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N25_29,90,98,188
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N30_34,105,176,281
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N35_39,158,422,580
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N40_44,283,689,972
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N45_49,500,906,1406
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N50_54,778,1142,1920
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N55_59,1181,1317,2498
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N60_64,1611,1460,3071
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N65_69,1987,1621,3608
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N70_74,1925,1611,3536
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N75_79,1654,1339,2993
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N80_84,1029,979,2008
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N85+,620,610,1230
"All cancers but non-melanoma skin (C00-96, but C44)",1965,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N0_4,81,60,141
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N5_9,48,19,67
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N10_14,26,30,56
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N15_19,58,41,99
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N20_24,62,73,135
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N25_29,86,99,185
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N30_34,103,193,296
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N35_39,168,363,531
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N40_44,295,693,988
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N45_49,436,1021,1457
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N50_54,761,1148,1909
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N55_59,1213,1296,2509
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N60_64,1586,1519,3105
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N65_69,1954,1721,3675
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N70_74,2006,1687,3693
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N75_79,1601,1387,2988
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N80_84,1096,981,2077
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N85+,601,651,1252
"All cancers but non-melanoma skin (C00-96, but C44)",1966,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N0_4,94,49,143
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N5_9,36,36,72
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N10_14,43,30,73
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N15_19,68,50,118
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N20_24,95,64,159
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N25_29,85,106,191
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N30_34,118,207,325
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N35_39,167,359,526
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N40_44,261,729,990
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N45_49,480,1007,1487
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N50_54,756,1161,1917
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N55_59,1278,1381,2659
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N60_64,1782,1506,3288
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N65_69,2058,1781,3839
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N70_74,2153,1739,3892
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N75_79,1712,1452,3164
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N80_84,1063,1014,2077
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N85+,650,640,1290
"All cancers but non-melanoma skin (C00-96, but C44)",1967,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N0_4,74,72,146
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N5_9,31,30,61
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N10_14,48,34,82
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N15_19,57,51,108
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N20_24,81,79,160
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N25_29,86,127,213
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N30_34,129,197,326
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N35_39,182,389,571
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N40_44,269,640,909
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N45_49,509,1116,1625
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N50_54,795,1190,1985
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N55_59,1335,1442,2777
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N60_64,1804,1593,3397
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N65_69,2210,1731,3941
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N70_74,2268,1914,4182
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N75_79,1787,1457,3244
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N80_84,1224,1078,2302
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N85+,647,714,1361
"All cancers but non-melanoma skin (C00-96, but C44)",1968,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N0_4,77,66,143
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N5_9,49,32,81
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N10_14,41,29,70
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N15_19,60,54,114
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N20_24,97,77,174
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N25_29,110,121,231
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N30_34,124,219,343
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N35_39,166,376,542
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N40_44,301,661,962
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N45_49,508,1086,1594
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N50_54,798,1226,2024
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N55_59,1278,1396,2674
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N60_64,1776,1614,3390
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N65_69,2187,1726,3913
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N70_74,2281,1827,4108
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N75_79,1884,1646,3530
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N80_84,1196,1087,2283
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N85+,700,694,1394
"All cancers but non-melanoma skin (C00-96, but C44)",1969,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N0_4,92,45,137
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N5_9,45,30,75
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N10_14,19,22,41
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N15_19,54,37,91
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N20_24,95,76,171
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N25_29,122,124,246
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N30_34,112,200,312
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N35_39,186,364,550
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N40_44,282,688,970
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N45_49,506,1057,1563
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N50_54,800,1261,2061
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N55_59,1274,1452,2726
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N60_64,1889,1691,3580
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N65_69,2350,1745,4095
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N70_74,2453,1923,4376
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N75_79,1889,1650,3539
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N80_84,1217,1198,2415
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N85+,707,785,1492
"All cancers but non-melanoma skin (C00-96, but C44)",1970,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N0_4,374,306,680
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N5_9,240,176,416
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N10_14,201,128,329
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N15_19,280,233,513
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N20_24,485,419,904
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N25_29,555,641,1196
"All cancers but non-melanoma skin (C00-96, but C44)",1971,N30_34,650,980,1630
