cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
Oesophagus (C15),F,1997,N0_4,0,3558
Oesophagus (C15),F,1998,N0_4,0,3731
Oesophagus (C15),F,1999,N0_4,0,3834
Oesophagus (C15),F,2000,N0_4,0,3851
Oesophagus (C15),F,2001,N0_4,0,3884
Oesophagus (C15),F,2002,N0_4,0,3850
Oesophagus (C15),F,2003,N0_4,0,4138
Oesophagus (C15),F,2004,N0_4,0,4094
Oesophagus (C15),F,2005,N0_4,0,4247
Oesophagus (C15),F,2006,N0_4,0,4296
Oesophagus (C15),F,2007,N0_4,0,4317
Oesophagus (C15),F,2008,N0_4,0,4289
Oesophagus (C15),F,2009,N0_4,0,4384
Oesophagus (C15),F,2010,N0_4,0,4520
Oesophagus (C15),F,2011,N0_4,0,4473
Oesophagus (C15),F,2012,N0_4,0,4651
Oesophagus (C15),F,2013,N0_4,0,4682
Oesophagus (C15),F,2014,N0_4,0,4694
Oesophagus (C15),F,2015,N0_4,0,4902
Oesophagus (C15),F,2016,N0_4,0,4783
Oesophagus (C15),F,2017,N0_4,0,4670
Stomach (C16),M,1953,N0_4,0,1807
Stomach (C16),M,1954,N0_4,0,1740
Stomach (C16),M,1955,N0_4,0,1794
Stomach (C16),M,1956,N0_4,0,1757
Stomach (C16),M,1957,N0_4,0,1692
Stomach (C16),M,1958,N0_4,0,1820
Stomach (C16),M,1959,N0_4,0,1694
Stomach (C16),M,1960,N0_4,0,1773
Stomach (C16),M,1961,N0_4,0,1717
Stomach (C16),M,1962,N0_4,0,1674
Stomach (C16),M,1963,N0_4,0,1626
Stomach (C16),M,1964,N0_4,0,1611
Stomach (C16),M,1965,N0_4,0,1666
Stomach (C16),M,1966,N0_4,0,1584
Stomach (C16),M,1967,N0_4,0,1572
Stomach (C16),M,1968,N0_4,0,1639
Stomach (C16),M,1969,N0_4,0,1520
Stomach (C16),M,1970,N0_4,0,1483
Stomach (C16),M,1971,N0_4,1,8136
Stomach (C16),M,1972,N0_4,0,8035
Stomach (C16),M,1973,N0_4,0,8447
Stomach (C16),M,1974,N0_4,0,8254
Stomach (C16),M,1975,N0_4,1,8396
Stomach (C16),M,1976,N0_4,0,8047
Stomach (C16),M,1977,N0_4,0,8536
Stomach (C16),M,1978,N0_4,0,9214
Stomach (C16),M,1979,N0_4,0,9127
